interval,period,site,diver,date1,time1,time1_decimal,transect,side,dist,tag1,stipeL1,bladeL1,Bwidth,Psori1,distP1,obladeL1,Bcount1,Sbulb_max1,comments,date2,tag2,time2,time2_decimal,Bcount2,Sbulb_max2,distP2,obladeL2,presence2,comments,date3,presence3,tag3,time3,time3_decimal,stipeL3,Bcount3,Sbulb_max3,comments,Bgrowth_rate,Sgrowth_rate,Bcount_growth,Berosion_rate
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,1,L,11.3,1781,120,100,na,0,35,114,na,na,,2016-05-26,1781,10:35:00,10.58,19,na,na,na,y,no punch found = no blade collected,2016-06-15,y,1781,10:30:00,10.5,188,25,na,,na,2.628,0.300,na
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,3,L,9,1792,49,45,na,0,15,46,na,na,,2016-05-26,1792,10:35:00,10.58,20,na,31.8,71.9,y,,2016-06-15,y,1792,10:30:00,10.5,75,24,na,,2.858,1.005,0.200,1.548
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,2,L,18.3,1867,104,100,na,0,25,80,na,na,,2016-05-26,1867,10:35:00,10.58,23,na,44.6,98.7,y,,2016-06-15,y,1867,10:30:00,10.5,162,32,na,,3.334,2.242,0.450,-0.153
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,2,L,3.3,2010,197,120,na,0,50,155,na,na,,2016-05-26,2010,10:35:00,10.58,54,na,75.1,159.3,y,,2016-06-15,y,2010,10:30:00,10.5,248,57,na,,4.270,1.971,0.150,-3.538
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,1,R,3.7,1763,138,110,na,0,30,108,na,na,didn't decide to do depth until later,2016-05-26,1763,10:35:00,10.58,41,na,52.2,128.8,y,,2016-06-15,y,1763,10:30:00,10.5,196,56,na,,3.777,2.242,0.750,-0.238
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,1,R,7,1939,116,80,na,0,20,68,na,na,,2016-05-26,1939,10:35:00,10.58,32,na,30,79.7,y,,2016-06-15,y,1939,10:30:00,10.5,168,60,na,,1.701,2.010,1.400,0.289
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,1,R,16.3,1863,112,80,na,0,25,76,na,na,,2016-05-26,1863,10:35:00,10.58,19,na,42.7,92.1,y,,2016-06-15,y,1863,10:30:00,10.5,168,27,na,,3.011,2.164,0.400,-0.272
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,2,R,12,2129,39,30,na,0,10,40,na,na,,2016-05-26,2129,10:35:00,10.58,10,na,19,48.5,y,,2016-06-15,y,2129,10:30:00,10.5,120,20,na,,1.531,3.130,0.500,-0.085
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,2,R,13.2,2038,183,125,na,0,30,90,na,na,,2016-05-26,2038,10:35:00,10.58,43,na,49.9,113.6,y,,2016-06-15,y,2038,10:30:00,10.5,235,64,na,,3.385,2.010,1.050,0.629
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,2,R,18.6,1793,64,50,na,0,15,52,na,na,,2016-05-26,1793,10:35:00,10.58,16,na,28.8,60.5,y,,2016-06-15,y,1793,10:30:00,10.5,144,32,na,,2.348,3.092,0.800,-0.902
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,3,R,1,2091,99,70,na,0,25,60,na,na,,2016-05-26,2091,10:35:00,10.58,23,na,44,77.6,y,,2016-06-15,y,2091,10:30:00,10.5,173,37,na,,3.232,2.860,0.700,-0.238
1,2016-May,Manley,OP,2016-05-20,13:30:00,13.5,3,R,8.2,2089,66,55,na,0,12,42,na,na,,2016-05-26,2089,10:35:00,10.58,30,na,28.5,59,y,,2016-06-15,y,2089,10:30:00,10.5,111,39,na,,2.807,1.739,0.450,0.085
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,2,L,8,311,124,90,na,0,25,88,na,na,,2016-05-27,311,9:20:00,9.33,16,na,66,131.5,y,,2016-06-09,y,311,14:30:00,14.5,373,34,na,,6.837,12.960,1.362,0.417
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,3,R,8.3,317,106,105,na,0,30,92,na,na,,2016-05-27,317,9:20:00,9.33,28,na,82,149.6,y,,2016-06-09,y,317,14:30:00,14.5,277,43,na,,8.671,8.900,1.135,0.934
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,1,R,6,1706,95,55,na,0,15,51,na,na,,2016-05-27,1706,9:20:00,9.33,17,na,49,92.5,y,,2016-06-09,y,1706,14:30:00,14.5,305,47,na,,5.669,10.930,2.270,1.251
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,2,L,14,1716,115,85,na,0,25,80,na,na,,2016-05-27,1716,9:20:00,9.33,20,na,70.7,135.1,y,,2016-06-09,y,1716,14:30:00,14.5,361,53,na,,7.620,12.804,2.497,1.567
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,1,R,0,1822,76,45,na,0,15,45,na,na,,2016-05-27,1822,9:20:00,9.33,17,na,41.3,76.8,y,,2016-06-09,y,1822,14:30:00,14.5,299,37,na,,4.385,11.607,1.513,0.917
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,2,L,8,1838,134,100,na,0,25,85,na,na,,2016-05-27,1838,9:20:00,9.33,21,na,72.2,193.3,y,,2016-06-09,y,1838,14:30:00,14.5,227,55,na,,7.870,4.841,2.573,10.188
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,3,R,6,1857,233,120,na,0,34,104,na,na,,2016-05-27,1857,9:20:00,9.33,38,na,105.2,180,y,,2016-06-09,n,1857,14:30:00,14.5,na,na,na,"gone (hypothyzed caused of death by strangulation, tag on too tight)",11.872,na,na,0.800
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,3,R,12,1917,160,100,na,0,26,77,na,na,,2016-05-27,1917,9:20:00,9.33,30,na,74,132.3,y,,2016-06-09,y,1917,14:30:00,14.5,286,62,na,,8.004,6.558,2.421,1.217
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,3,L,0,1936,224,260,na,0,30,110,na,na,,2016-05-27,1936,9:20:00,9.33,55,na,112.3,198.5,y,,2016-06-09,y,1936,14:30:00,14.5,336,79,na,tag at top (damage?),13.723,5.830,1.816,1.034
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,3,L,4.6,2034,267,218,na,0,60,180,na,na,,2016-05-27,2034,9:20:00,9.33,49,na,na,254.5,y,"distP2 185.5, measurement error?",2016-06-09,y,2034,14:30:00,14.5,404,46,na,tag at top (damage?),na,7.131,-0.227,na
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,3,R,11.4,2086,83,55,na,0,17,53,na,na,,2016-05-27,2086,9:20:00,9.33,10,na,53.5,94,y,,2016-06-09,y,2086,14:30:00,14.5,274,32,na,,6.086,9.941,1.665,0.750
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,2,R,8,2093,46,40,na,0,13,38,na,na,,2016-05-27,2093,9:20:00,9.33,11,na,41.4,69.6,y,,2016-06-09,y,2093,14:30:00,14.5,167,21,na,,4.736,6.298,0.757,0.534
1,2016-May,Second,AM,2016-05-21,9:25:00,9.4,1,L,7.1,2102,146,110,na,0,30,105,na,na,,2016-05-27,2102,9:20:00,9.33,19,na,87.1,162,y,,2016-06-09,y,2102,14:30:00,14.5,391,48,na,tag at top (damage?),9.521,12.752,2.194,-0.017
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,1,R,11,2418,200,115,na,0,25,78,na,na,,2016-05-27,2418,9:20:00,9.33,38,na,84.5,140.6,y,,2016-06-09,y,2418,14:30:00,14.5,370,66,na,,9.921,8.848,2.119,0.517
1,2016-May,Second,OP,2016-05-21,9:25:00,9.4,2,R,13,2512,59,45,na,0,15,51,na,na,,2016-05-27,2512,9:20:00,9.33,12,na,41.5,77.5,y,,2016-06-09,y,2512,14:30:00,14.5,268,27,na,,4.419,10.878,1.135,0.000
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,116,78,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,361,150,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,217,175,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,137,88,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,169,100,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,105,50,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,100,60,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,102,70,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,130,105,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,123,87,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,116,85,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,100,68,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,92,45,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,125,95,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,1,na,na,na,215,110,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,101,45,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,138,85,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,127,110,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,189,115,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,439,80,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,436,50,na,L,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,585,250,na,L,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,104,40,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,480,110,na,L,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,239,115,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,103,70,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,100,85,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,115,75,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,155,85,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,NR,2016-05-22,13:30:00,13.5,2,na,na,na,460,175,na,L,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,105,45,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,104,89,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,118,86,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,203,164,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,124,91,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,114,72,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,182,89,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,102,91,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Manley,OP,2016-05-22,13:30:00,13.5,3,na,na,na,113,67,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,117,85,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,100,83,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,91,85,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,186,140,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,222,150,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,190,126,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,326,300,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,182,94,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,140,75,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,96,75,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,58,72,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,75,70,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,64,55,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,37,58,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,1,na,na,na,56,52,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,71,60,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,133,93,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,142,100,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,181,120,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,164,110,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,171,175,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,52,65,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,48,50,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,36,42,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,2,na,na,na,177,140,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,240,210,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,243,170,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,298,190,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,270,150,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,151,90,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,277,220,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,123,92,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,74,70,na,0,na,na,na,na,counted plants under 1m because not enough over 1m,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,Second,AM,2016-05-23,9:25:00,9.4,3,na,na,na,98,70,na,0,na,na,na,na,,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
1,2016-May,North,OP,2016-05-27,15:40:00,15.7,2,na,na,na,106,74,na,0,na,na,na,na,"only one plant over 1m (none on line 1, none on line 3)",na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,na,na,na,na
